Ano,Enunciado,Alternativa_A,Alternativa_B,Alternativa_C,Alternativa_D,Alternativa_E,Area_de_Conhecimento
2020,fest 17 ano aniversari convid 132 pesso convid 26 mulh númer hom empr contrat realiz fest cobr 5000 convid sex masculin 4500 convid sex feminin quant aniversari pag real empr contrat quant hom convid fest,2 38500,2 65000,3 30000,3 95000,5 30000,Matemática
2020,bas lei univers gravit propost isaac newton pes objet superfíci planet aproximad esfér diret proporc mass planet invers proporc quadr rai dess planet mass planet mercúri aproximad mass terr rai aproximad rai terr consid objet superfíci terr pes pes dess objet superfíci mercúri igual,possível imag,possível imag,possível imag,possível imag,possível imag,Matemática
2020,gráf mostr receit desp empr mes julh novembr ano result financ obt diferenç receit desp pod posi lucr nega prejuíz sab mê dezembr geral melhor vend don empr faz previs receit naquel mê aument relaç mê anteri mesm tax cresc ocorr setembr outubr desp irá mant mesm novembr confirm previs don empr result financ obt semestr julh dezembr,prejuíz 2 65000,prejuíz 85000,lucr 7 15000,lucr 5 95000,lucr 35000,Matemática
2020,comum cooper vend produt divers estabelec cooper lácte destin 4 leit total produz anális laboratóri reg separ igual 4 000 embal mesm capac volum leit mililitr cont cad embal,01,10,100,1000,1 0000,Matemática
2020,prev dinâm populac país extrem import poi conhec polít públic saúd educ habit infraestrut pod execut atras form efici linh chei gráf mostr evolução popul brasil desd 1950 2010 extrapol previs ano 2050 represent linh tracej feit bas cens demográf realiz 2010 font ibg projeç popul brasil 2010 gráf apresent interval observ aument popul,1950 2010,1950 2040,1950 2050,2010 2040,2040 2050,Matemática
2020,fatur mens águ compost tax fix independ gast part relat consum águ metr cúbic gráf relac val fatur volum águ gast resid mê novembr represent semirret observas ness mê consum 7 águ sabes dezembr consum águ ness resid metr cúbic dobr relaç mê anteri val fatur refer consum mê dezembr ness resid,superi 6500 inferi 7000,superi 8000 inferi 8500,superi 9000 inferi 9500,superi 9500,inferi 5500,Matemática
2020,pesso possuí lot áre 300 nel constru cas utiliz 70 lot construç resid rest áre laz posteri adquir nov lot lad cas pass disp terren form doi lot cuj áre med 420 decid ent ampli cas tal form ocup mín 60 áre terren send rest destin áre laz acrésc máx reg destin áre laz terren pod ter relaç áre utiliz laz lot orig metr quadr,12,48,78,138,168,Matemática
2020,associ despor contrat empr especi constru camp futebol format retangul 250 metr perímetr elabor plant camp escal 1 2 000 plant med perímetr camp futebol metr,00005,0125,8,250,500 000,Matemática
2020,empr desej constru edifíci resid 12 pav lot retangul lad med 22 26 3 lad lot constru mur frent prédi sobr lad lot men compr sabes cad pav 32 destin áre comum hall entr elev esc rest áre destin unidad habitac legisl vigent exig prédi constru mant dist mín limit lot ond encontr obedi legisl prédi fic 5 afast rua ond entr 3 dist mur fund lot 4 dist mur later lot mostr figur áre total metr quadr destin unidad habitac dess edifíci,2 640,3 024,3 840,6 480,6 864,Matemática
2020,ganh real salári tax cresc pod compr dess salári calcul part percent aument salári tax infl refer períod algebric podes calcul ganh real fórmul percent aument val salári tax infl ambos refer períod consid categor trabalh receb propost aument salar 10 tax infl períod correspond sid 5 avali propost trabalh cri classific função ganh real conform quadr classific propost aument justific classific apresent val ganh real obt classific respec justific,inaceit porqu ganh real próx 5,ruim porqu ganh real próx 105,regul porqu ganh real próx 47,boa porqu ganh real próx 95,boa porqu ganh real próx 5,Matemática
2020,empr avali cinc aparelh celul 1 5 vend últ ano it câm custobenefí cio design desempenh bat tel represent 1 respectiv empr atribu not 0 10 cad it avali organiz not matriz cad element signif not dad empr aparelh it empr consid melhor aparelh celul obtém mai som not obt cinc it avali bas ness inform aparelh celul empr avali send melhor,,,,,,Matemática
2020,consid guind mostr figuras dua pos 1 2 pos 1 braç moviment form ângul ret cab aço sustent esf metál extrem inferi pos 2 guind elev braç moviment nov ângul form braç cab aço sustent bol metál agor igual 60 assum pont pos 1 form triângulo pont pos 2 form triângulo qual pod classific obtusângul retângul acutângul equiláter isóscel escalen segund classific cit triângul identific respectiv,retângul escalen retângul isóscel,acutângul escalen retângul isóscel,retângul escalen acutângul escalen,acutângul escalen acutângul equiláter,retângul escalen acutângul equiláter,Matemática
2020,isop mater compost polímer cham poliestiren tod produt isop 100 recicl assim plás total gráf mostr quant isop tonel recicl brasil ano 2007 2008 2009 consid aument quant isop recicl ocorr 2008 2009 repitas ano ano 2009 2013 part daí quant total recicl anual permaneç inalter períod 10 ano dispon wwwplastividaorgbr acess 31 jul 2012 adapt quant prev recicl isop tonel ano 2020,21 840,21 600,13 440,13 200,9 800,Matemática
2020,gráf apresent evolução cresc determin árvor plant part mud 1 metr altur ness evolução altur árvor metr descrit função temp med ano períod 1 ano cont part instant árvor doi ano mei planti vari altur dess árvor metr val compreend,055 065,065 075,105 115,125 135,145 155,Matemática
2020,cas lotér oferec cinc opç jog cad opç apost escolh grup númer distint cart contém total númer dispon ger dess form total combin possível faz marc cart ganh prêmi cart apresent númer sorte val dess jog var 100 200 conform descrit quadr apost dispõ 200 gast cinc opç jog dispon segund val dispon gast jog oferec apost mai probabilidade ganh prêmi,,,iii,,,Matemática
2020,gráf mostr iníci trajetór robô part pont 2 0 movimentandos cim direit veloc unidad compr segund plan cartesi gráf exemplif trajetór dess robô dur 6 segund sup robô continu mesm trajetór coorden após 18 segund caminh cont temp part pont,0 18,18 2,18 0,14 6,6 14,Matemática
2020,acord pesquis recent expect vid brasil sub 746 ano 2012 749 ano 2015 dentr possível fat aument melh sistem saúd aument rend famili prát exercíci físic torn notíc aument expect vid brasil express converteus aument quant dia consid convers númer dia cad mê fix 30 bas inform cálculo correspond convers,possível imag,possível imag,possível imag,possível imag,possível imag,Matemática
2020,jog pedagóg form cart qual impress fraç fac cad jog receb quatr cart venc prim conseg orden cresc cart respec fraç impress venc alun receb cart fraç ord alun apresent,possível imag,possível imag,possível imag,possível imag,possível imag,Matemática
2020,segund indic veterin cão pequen port doi prim mes vid dev aliment di 50 suplement tom banh quatr vez mê don cão pequen port segu orient dess veterin utiliz prim mê produtosserviç determin pet shop preç apresent quadr mê subsequ fabric reajust preç suplement ness pet shop pass cust 900 cad pacot 500 vis mant gast mens don cão gerent pet shop decid reduz preç unit banh efeit cálcul consid mê comerc 30 dia dispon httpcarodinheiroblogfolhauolcombr acess 20 jan 2015 adapt ness cond val unit banh real pass,2700,2900,2925,2950,2975,Matemática
2020,índic desenvolv educ básic ideb cri med qual aprend ensin básic brasil calcul cad doi ano cálculo combin doi indic aprend flux escol obt part cens escol avali ofic promov inep ideb escol dad séri escol pod calcul express méd profici língu portugu matemá obt part sistem avali educ básic saeb vari 0 10 indic var 0 1 vez referes flux escol poi consid tax aprov reprov institu send calcul temp médi perman alun séri dispon wwwinepgovbr acess 2 ago 2012 escol apresent ano ensin fundament 2017 ideb difer daquel hav apresent ness mesm séri 2015 poi temp médi perman alun ano diminu 2 enquant méd profici língu portugu matemá ness séri aument 2 dess form ideb ano ensin fundament dess escol 2017 relaç calcul 2015 permanec inalter poi aument diminu 2 doi parâmetr anulams aument 4 poi aument 2 méd profici somas diminu 2 temp médi perman alun séri diminu 404 poi tant decresc temp médi perman alun séri 2 quant cresc méd profici 2 implic doi decrésc consecu 2 val ideb aument 404 poi tant decresc temp médi perman,lun séri 2 quant cresc méd profici 2 implic,oi acrésc consecu 2 val ideb,aument 408 poi acrésc 2 parâmetr,iret proporc decrésc 2 parâmetr invers,roporc ideb,Matemática
2020,agricul sab colheit safr soj conclu 120 dia cas utiliz dur 10 hor dia 20 máquin model antig colh 2 hect hor obje diminu temp colheit agricul opt utiliz máquin nov model oper 12 hor dia colh 4 hect hor quant máquin nov model necessit adquir consig efetu colheit safr 100 dia,7,10,15,40,58,Matemática
2020,país infr trânsit classific acord grav infr tip lev méd acrescent respectiv 3 4 pont cart habilit infra além mult ser pag motor comet 5 infr trânsit consequ 17 pont acrescent cart habilit ra númer infr tip lev númer infr tip méd comet motor,possível imag,possível imag,possível imag,possível imag,possível imag,Matemática
2020,ano prefeit apresent relatóri gast públic realiz municípi document mostr gast 72 mil real mê jan mê 1 mai gast mens ocorr mê agost mê 8 prefeit gast 105 mil real mê dezembr mê 12 curv model gast parábol send númer correspond mê milh real express função cuj gráf parábol descrit,possível imag,possível imag,possível imag,possível imag,possível imag,Matemática
2020,marcen visit 5 madeir compr tábu permit constru 5 pratel format retangul dimens igual 30 larg 120 compr cad tend obje minim sobr mad pod faz qualqu tip emend dimens tábu encontr madeir descrit quadr madeir marcen dev compr tábu ating obje,,,iii,,,Matemática
2020,1 2 3 gol 5 6 7 gol 9 10 11 gol 13 gol 15 gol 17 18 19 gol 21 22 23 gol 25 cop mund futebol 2014 bar ond reun amig assist jog cri brinc pres escolh diz sequ ord cresc númer natur nul troc múltipl 4 númer termin 4 palavr gol brinc acab particip err term sequ particip consegu fal númer 103 respeit regr brinc total vez particip diss palavr gol,20,28,30,35,40,Matemática
2020,últ ele presid club dua chap inscrev doi tip sóci patrimon contribuint vot sóci patrimon têm pes 06 sóci contribuint têm pes 04 chap receb 850 vot sóci patrimon 4 300 sóci contribuint chap receb 1 300 vot sóci patrimon 2 120 sóci contribuint abstenç vot branc nul chap venc hav nov ele presid club númer tip sóci mesm chap ele anteri consult feit chap mostr sóci patrimon mud vot pod cont vot sóci contribuint últ ele assim venç necessár campanh junt sóci contribuint obje mud vot chap men quant sóci contribuint precis troc vot chap,hap venc 449,753,866,941,1 091,Matemática
2020,microempr especializous produz tip chav person brind cust produç cad unidad 042 comerci pacot 400 chav vend 28000 além diss empr cust mens fix 12 80000 depend númer chav produz númer mín pacot chav dev vend mens microempr prejuíz mê,26,46,109,114,115,Matemática
2020,invest desej aplic 10 00000 dur mê fund invest banc agent invest dess banc apresent doi tip aplic financ aplic básic aplic pessoal cuj inform rend descont tax administr mens apresent quadr consider tax rend administr aplic fornec mai val rend líqu invest val,básic rend líqu 5390,básic rend líqu 5450,pessoal rend líqu 5600,pessoal rend líqu 5812,pessoal rend líqu 5980,Matemática
2020,muit ano brasil figur cen mund mai produt export soj ano 2010 2014 fort tend aument produt porém aspect dificult avanç alt cust impost produt associ baix preç vend produt méd produt gast 1 20000 hect plant vend 5000 cad sac 60 cient dess val produt pod cert ano determin relaç lucr obtev função sac 60 vend suponh plant 10 hect soj propriedad colh sac 60 tod sac vend dispon wwwcnpsoembrapabr acess 27 fev 2012 adapt express determin lucr função obt produt ness,noa 50 1 200,50 12 000,50 12 000,500x 1 200,1 200x 500,Matemática
